Køn,Alder,År,Andel_tinitus,Region
Kvinder,16-24 år,2021,6.619873468147283,Region Midtjylland
Kvinder,25-34 år,2010,3.622265273903267,Region Midtjylland
Kvinder,25-34 år,2013,3.6929258046398115,Region Midtjylland
Kvinder,25-34 år,2017,5.069164831223224,Region Midtjylland
Kvinder,25-34 år,2021,7.216169828459276,Region Midtjylland
Kvinder,35-44 år,2010,5.05794694792193,Region Midtjylland
Kvinder,35-44 år,2013,5.165874188906532,Region Midtjylland
Kvinder,35-44 år,2017,6.414704446313868,Region Midtjylland
Kvinder,35-44 år,2021,9.00982868932333,Region Midtjylland
Kvinder,45-54 år,2010,8.119973549795404,Region Midtjylland
Kvinder,45-54 år,2013,10.195056510166529,Region Midtjylland
Kvinder,45-54 år,2017,9.925046764811436,Region Midtjylland
Kvinder,45-54 år,2021,12.745846756737864,Region Midtjylland
Kvinder,55-64 år,2010,11.449453919008159,Region Midtjylland
Kvinder,55-64 år,2013,12.25804037742594,Region Midtjylland
Kvinder,55-64 år,2017,14.505121211522015,Region Midtjylland
Kvinder,55-64 år,2021,17.582677460706762,Region Midtjylland
Kvinder,65-74 år,2010,13.247897655500172,Region Midtjylland
Kvinder,65-74 år,2013,14.74922197406643,Region Midtjylland
Kvinder,65-74 år,2017,15.387901827503073,Region Midtjylland
Kvinder,65-74 år,2021,19.298093900937463,Region Midtjylland
Kvinder,75+ år,2010,19.46467645153475,Region Midtjylland
Kvinder,75+ år,2013,15.590513274799642,Region Midtjylland
Kvinder,75+ år,2017,13.901013048657203,Region Midtjylland
Kvinder,75+ år,2021,17.65595344054656,Region Midtjylland
Mænd,16-24 år,2010,3.6925763097857516,Region Nordjylland
Mænd,16-24 år,2013,6.949420064740036,Region Nordjylland
Mænd,16-24 år,2017,6.802241302911407,Region Nordjylland
Mænd,16-24 år,2021,11.496577111068653,Region Nordjylland
Mænd,25-34 år,2010,5.135949604840176,Region Nordjylland
Mænd,25-34 år,2013,7.208702747083986,Region Nordjylland
Mænd,25-34 år,2017,8.89586674549947,Region Nordjylland
Mænd,25-34 år,2021,8.792393577302722,Region Nordjylland
Mænd,35-44 år,2010,5.596515958091563,Region Nordjylland
Mænd,35-44 år,2013,8.813005830781902,Region Nordjylland
Mænd,35-44 år,2017,10.65800393949237,Region Nordjylland
Mænd,35-44 år,2021,11.693540379132273,Region Nordjylland
Mænd,45-54 år,2010,11.468776543034148,Region Nordjylland
Mænd,45-54 år,2013,15.580295599529014,Region Nordjylland
Mænd,45-54 år,2017,16.072676929670155,Region Nordjylland
Mænd,45-54 år,2021,19.46575766070372,Region Nordjylland
Mænd,55-64 år,2010,18.64587235537771,Region Nordjylland
Mænd,55-64 år,2013,25.780099569635585,Region Nordjylland
Mænd,55-64 år,2017,29.294521612173206,Region Nordjylland
Mænd,55-64 år,2021,26.523958752835856,Region Nordjylland
Mænd,65-74 år,2010,18.16561780143291,Region Nordjylland
Mænd,65-74 år,2013,28.035803984322495,Region Nordjylland
Mænd,65-74 år,2017,29.419585269542235,Region Nordjylland
Mænd,65-74 år,2021,32.343610125313184,Region Nordjylland
Mænd,75+ år,2010,16.719886338434222,Region Nordjylland
Mænd,75+ år,2013,21.96752786778151,Region Nordjylland
Mænd,75+ år,2017,22.698983309628037,Region Nordjylland
Mænd,75+ år,2021,27.685082954133627,Region Nordjylland
